sample_id,ERBB2_copy_number,CEP17_copy_number,ERBB2_CEP17_ratio,ERBB2_minus_ploidy,Purity,Ploidy
TCGA-EW-A3U0T,4,4,1.0,-0.1432999999999999,0.26,4.1433
CPCT02380034T,2,2,1.0,0.4473,0.76,1.5527
CPCT02290010T,3,2,1.5,-0.1520999999999999,0.86,3.1521
DO217800,2,2,1.0,-0.0367000000000001,1.0,2.0367
DO218159,2,1,2.0,0.1725000000000001,0.53,1.8275
CPCT02060221T,2,1,2.0,-0.0874999999999999,0.78,2.0875
CPCT02040123T,13,1,13.0,10.9558,0.55,2.0442
DO218347,2,2,1.0,0.0069999999999998,0.61,1.993
CPCT02290046T,2,1,2.0,-0.0421999999999997,0.75,2.0422
CPCT02330042T,2,2,1.0,0.1715999999999999,0.44,1.8284
CPCT02080261T,4,4,1.0,0.8769999999999998,0.58,3.123
CPCT02090062T,2,2,1.0,-1.0731000000000002,0.37,3.0731
CPCT02010260T,29,4,7.25,26.3275,0.34,2.6725
CPCT02040266T,4,6,0.6666666666666666,0.7204999999999999,0.41,3.2795
CPCT02010746T,2,2,1.0,-0.0891000000000001,0.75,2.0891
DO1009,2,2,1.0,-1.6493000000000002,0.43,3.6493
CPCT02110079T,4,5,0.8,-0.0602,0.61,4.0602
CPCT02240011T,2,5,0.4,-1.5049,0.36,3.5049
CPCT02050338T,2,1,2.0,0.1456999999999999,0.67,1.8543
CPCT02390021T,2,2,1.0,-0.9262,0.81,2.9262
CPCT02010721T,4,6,0.6666666666666666,0.3050999999999999,0.73,3.6949
CPCT02050127T,2,3,0.6666666666666666,0.0045999999999999,0.32,1.9954
WIDE01010235T,2,2,1.0,-0.0295999999999998,0.61,2.0296
CPCT02030340T,3,4,0.75,1.0083,0.76,1.9917
TCGA-A8-A08BT,39,3,13.0,35.5833,0.63,3.4167
CPCT02210034T,2,3,0.6666666666666666,-0.9881000000000002,0.39,2.9881
CPCT02010678T,1,1,1.0,-0.9985,0.74,1.9985
CPCT02080153T,2,2,1.0,-0.0238,0.81,2.0238
CPCT02330071T,2,2,1.0,-0.6554000000000002,0.53,2.6554
WIDE01010448T,3,2,1.5,-0.4367000000000001,0.33,3.4367
CPCT02050053T,68,2,34.0,64.5735,0.62,3.4265
CPCT02310004T,93,12,7.75,87.7976,0.42,5.2024
WIDE01010124T,6,3,2.0,2.2183,0.47,3.7817
CPCT02100117T,2,2,1.0,-0.8654999999999999,0.62,2.8655
CPCT02300016T,3,3,1.0,0.306,0.85,2.694
CPCT02050299T,1,1,1.0,-0.9086,0.25,1.9086
CPCT02010528T,68,1,68.0,66.0962,0.69,1.9038
CPCT02040008T,2,2,1.0,0.1162,0.51,1.8838
CPCT02340037T,2,2,1.0,-1.2216,0.26,3.2216
CPCT02100164T,3,4,0.75,-0.6749,0.51,3.6749
CPCT02020830T,4,6,0.6666666666666666,0.6930999999999998,0.26,3.3069
CPCT02160027T,2,2,1.0,0.0948999999999999,0.7,1.9051
CPCT02020487T,2,2,1.0,0.0831999999999999,0.67,1.9168
CPCT02210069T,3,3,1.0,0.9146,0.69,2.0854
CPCT02260008T,2,2,1.0,-0.5980000000000003,0.82,2.5980000000000003
DO218072,4,4,1.0,-0.0450999999999996,0.29,4.0451
CPCT02010461T,2,5,0.4,-0.8386,0.78,2.8386
CPCT02020436T,1,1,1.0,-1.0739999999999998,0.81,2.074
CPCT02230101T,27,6,4.5,22.6915,0.21,4.3085
WIDE01010405T,2,2,1.0,-0.1499000000000001,0.31,2.1499
CPCT02260028T,1,1,1.0,-0.8432999999999999,0.51,1.8433
CPCT02240001T,25,2,12.5,21.8979,0.56,3.1021
CPCT02210051T,7,3,2.333333333333333,3.4647,0.27,3.5353
CPCT02130163T,5,3,1.6666666666666667,1.2574999999999998,0.72,3.7425
CPCT02230118T,2,2,1.0,-1.2833,0.55,3.2833
CPCT02080064T,4,4,1.0,-0.2248000000000001,0.83,4.2248
CPCT02010344TII,1,1,1.0,-0.7745,0.8,1.7745
CPCT02020288T,4,4,1.0,1.2064,0.83,2.7936
TCGA-A2-A0YGT,51,4,12.75,47.3814,0.57,3.6186
CPCT02011013T,4,2,2.0,0.3243,0.85,3.6757
CPCT02010900T,1,2,0.5,-0.8731,0.64,1.8731
CPCT02050215T,2,2,1.0,-0.8680000000000003,0.8,2.8680000000000003
DO218583,2,2,1.0,-0.0419,0.67,2.0419
CPCT02010838T,2,2,1.0,0.0618,0.45,1.9382
CPCT02080100T,4,2,2.0,0.7081,0.7,3.2919
CPCT02140053T,2,1,2.0,0.1380000000000001,0.42,1.862
TCGA-BH-A18RT,16,2,8.0,13.7601,0.53,2.2399
CPCT02100043T,2,2,1.0,0.0543,0.65,1.9457
CPCT02030463T,1,1,1.0,-0.913,0.42,1.913
WIDE01011073T,3,3,1.0,-0.2715999999999998,0.62,3.2716
CPCT02330037T,9,3,3.0,5.5999,0.28,3.4001
CPCT02120137T,1,1,1.0,-0.9192,0.59,1.9192
CPCT02010508T,3,1,3.0,1.1769,0.71,1.8231
CPCT02240008T,1,1,1.0,-0.7962,0.53,1.7962
CPCT02010281T,5,5,1.0,1.1826,0.51,3.8174
CPCT02340058T,2,4,0.5,-1.8502,0.74,3.8502
CPCT02080173T,2,2,1.0,0.1456999999999999,0.47,1.8543
CPCT02010535T,2,2,1.0,-0.0049999999999998,0.59,2.005
CPCT02080001T,3,3,1.0,-0.9927,0.25,3.9927
CPCT02080128T,2,4,0.5,-1.5334,0.67,3.5334
TCGA-AO-A03LT,6,6,1.0,2.9056,0.47,3.0944
CPCT02190019T,1,1,1.0,-1.0640999999999998,0.55,2.0641
CPCT02230047T,2,2,1.0,-0.0924,0.58,2.0924
CPCT02020635T,2,2,1.0,-0.1404999999999998,0.72,2.1405
CPCT02020194T,2,2,1.0,-0.6478999999999999,0.7,2.6479
CPCT02250007T,3,3,1.0,-0.4430000000000001,0.62,3.443
CPCT02340066TII,3,2,1.5,-0.5735000000000001,0.45,3.5735
CPCT02020829T,5,5,1.0,1.6815000000000002,0.49,3.3185
CPCT02300028T,3,1,3.0,0.9502000000000002,0.36,2.0498
DO52560,3,6,0.5,0.0727999999999999,0.49,2.9272
CPCT02050028T,1,1,1.0,-0.9789,0.69,1.9789
CPCT02010504T,2,3,0.6666666666666666,-1.207,0.57,3.207
DO218553,2,2,1.0,-0.0626999999999999,0.75,2.0627
CPCT02100020T,2,2,1.0,-0.4064000000000001,0.66,2.4064
CPCT02060272T,3,3,1.0,-0.5686,0.7,3.5686
CPCT02010401T,6,3,2.0,2.3161,0.31,3.6839
CPCT02470001T,4,5,0.8,0.4468999999999999,0.37,3.5531
CPCT02300005T,2,2,1.0,0.1689,0.49,1.8311
DO218062,2,2,1.0,-0.1312000000000002,0.44,2.1312
DO218506,3,1,3.0,0.8664000000000001,0.33,2.1336
CPCT02080296T,2,2,1.0,0.0532999999999999,0.58,1.9467
CPCT02010687T,2,3,0.6666666666666666,-1.4881000000000002,0.68,3.4881
CPCT02250010T,4,5,0.8,0.3176000000000001,0.59,3.6824
CPCT02030394T,2,3,0.6666666666666666,0.0953999999999999,0.89,1.9046
DO218457,4,2,2.0,0.1202999999999998,0.24,3.8797
CPCT02080036T,4,4,1.0,-1.4660000000000002,0.45,5.466
CPCT02040254T,2,2,1.0,-0.6863000000000001,0.68,2.6863
CPCT02160003T,3,3,1.0,-0.3178999999999998,0.7,3.3179
DO218404,1,2,0.5,-0.9058,0.5,1.9058
WIDE01010968T,3,3,1.0,0.2612000000000001,0.69,2.7388
CPCT02360012T,3,5,0.6,0.9422,0.7,2.0578
CPCT02290040T,2,2,1.0,-1.745,0.35,3.745
WIDE01011107T,3,3,1.0,1.0417,0.73,1.9583
CPCT02290003T,2,2,1.0,-0.8401999999999998,0.72,2.8402
TCGA-E2-A156T,4,4,1.0,0.0177999999999998,0.78,3.9822
CPCT02290030T,19,2,9.5,15.5831,0.23,3.4169
WIDE01010400T,3,3,1.0,-0.5592999999999999,0.57,3.5593
WIDE01010048T,2,2,1.0,-0.0264999999999999,0.85,2.0265
CPCT02040071T,2,2,1.0,-0.214,0.78,2.214
TCGA-D8-A27HT,2,2,1.0,-2.2472000000000003,0.62,4.2472
CPCT02210039T,2,3,0.6666666666666666,-0.1009000000000002,0.71,2.1009
CPCT02010447T,4,2,2.0,0.4210000000000002,0.31,3.579
WIDE01010944T,3,3,1.0,0.1124999999999998,0.39,2.8875
CPCT02030550T,4,2,2.0,0.6989000000000001,0.58,3.3011
TCGA-A2-A04TT,2,2,1.0,-1.342,0.64,3.342
TCGA-EW-A1J5T,6,6,1.0,1.8586,0.46,4.1414
TCGA-E2-A15ET,10,2,5.0,6.3683,0.32,3.6317
CPCT02011073T,2,1,2.0,-0.0867,0.73,2.0867
CPCT02010694T,3,3,1.0,0.4083000000000001,0.72,2.5917
CPCT02080022T,4,4,1.0,0.0800999999999998,0.23,3.9199
DO217786,4,4,1.0,-0.1509999999999998,0.34,4.151
DO220825,6,4,1.5,2.5325,0.43,3.4675
CPCT02160013T,24,2,12.0,21.6656,0.38,2.3344
CPCT02020637T,7,4,1.75,3.5341,0.36,3.4659
CPCT02020441T,4,4,1.0,0.6263999999999998,0.34,3.3736
CPCT02050138T,46,2,23.0,44.0433,0.68,1.9567
CPCT02180057T,4,3,1.3333333333333333,0.8166000000000002,0.81,3.1834
CPCT02020245T,2,2,1.0,-0.1072000000000001,0.67,2.1072
CPCT02030329T,3,1,3.0,1.0417,0.49,1.9583
CPCT02010936T,1,2,0.5,-0.8448,0.44,1.8448
CPCT02070352T,9,1,9.0,7.0584,0.8,1.9416
CPCT02020322T,2,2,1.0,0.0179,0.51,1.9821
CPCT02020475T,2,2,1.0,-1.8792,0.56,3.8792
CPCT02080122T,5,6,0.8333333333333334,-0.3517000000000001,0.34,5.3517
CPCT02040323T,2,2,1.0,-0.0083000000000001,0.58,2.0083
CPCT02020276T,3,3,1.0,0.1543000000000001,0.56,2.8457
DO217908,2,2,1.0,-0.0221,0.54,2.0221
CPCT02020824T,2,6,0.3333333333333333,-1.2848000000000002,0.33,3.2848
DO220823,2,3,0.6666666666666666,-0.5150000000000001,0.7,2.515
CPCT02040219T,2,2,1.0,-0.2444000000000001,0.34,2.2444
CPCT02050088T,3,3,1.0,-0.2292999999999998,0.57,3.2293
CPCT02020245TIII,4,4,1.0,-0.1963999999999996,0.22,4.1964
TCGA-AN-A0G0T,3,5,0.6,-0.1962999999999999,0.65,3.1963
CPCT02100187T,4,5,0.8,-0.0646000000000004,0.32,4.0646
CPCT02380039T,3,4,0.75,0.0727000000000002,0.7,2.9273
CPCT02340049T,3,3,1.0,-0.1907000000000001,0.71,3.1907
TCGA-EW-A1PHT,4,3,1.3333333333333333,0.6566000000000001,0.76,3.3434
CPCT02030384T,2,2,1.0,-0.0872000000000001,0.81,2.0872
CPCT02050157T,2,4,0.5,-1.6911999999999998,0.47,3.6912
CPCT02010509T,2,2,1.0,-1.3842,0.71,3.3842
CPCT02080072T,182,8,22.75,176.7667,0.34,5.2333
CPCT02020264T,2,1,2.0,0.2517,0.72,1.7483
CPCT02020345T,3,3,1.0,-1.0171,0.27,4.0171
CPCT02060197T,3,3,1.0,-0.3544999999999998,0.46,3.3545
WIDE01010207T,14,3,4.666666666666667,10.2678,0.47,3.7322
CPCT02100029T,2,2,1.0,-1.3395,0.71,3.3395
CPCT02110056T,2,2,1.0,-1.0353,0.54,3.0353
CPCT02080069T,1,1,1.0,-1.0212,0.55,2.0212
CPCT02160058T,3,2,1.5,-0.7488999999999999,0.74,3.7489
WIDE01010934T,4,5,0.8,-0.4081000000000001,0.9,4.4081
CPCT02020314T,3,4,0.75,0.7704,0.71,2.2296
CPCT02010288T,2,1,2.0,-0.0011000000000001,0.84,2.0011
CPCT02230120TII,3,3,1.0,0.9558,0.61,2.0442
CPCT02290035T,2,2,1.0,-0.6762000000000001,0.6,2.6762
CPCT02040160T,2,3,0.6666666666666666,-1.5093,0.63,3.5093
TCGA-E2-A14PT,58,4,14.5,52.7262,0.32,5.2738
CPCT02370004T,2,2,1.0,-0.0026000000000001,0.23,2.0026
CPCT02020807T,2,2,1.0,0.2775000000000001,0.44,1.7225
CPCT02320008T,5,5,1.0,1.1189,0.49,3.8811
CPCT02210035T,2,3,0.6666666666666666,0.0159,0.55,1.9841
TCGA-A7-A0CET,3,3,1.0,0.1505999999999998,0.72,2.8494
CPCT02390029T,4,5,0.8,0.1251999999999999,0.78,3.8748
CPCT02040257T,3,1,3.0,0.3506999999999998,0.66,2.6493
WIDE01010162T,2,2,1.0,0.0373000000000001,0.61,1.9627
CPCT02030265TII,1,1,1.0,-0.9565,0.28,1.9565
CPCT02100105T,2,2,1.0,-0.0190999999999998,0.79,2.0191
CPCT02020218T,4,4,1.0,-0.2683999999999997,0.2,4.2684
CPCT02020514T,2,1,2.0,0.2644,0.66,1.7356
CPCT02050431T,4,5,0.8,0.6846999999999999,0.28,3.3153
CPCT02440021T,3,3,1.0,-0.2875999999999998,0.53,3.2876
CPCT02020401T,9,2,4.5,7.1459,0.53,1.8541
CPCT02120061T,2,1,2.0,0.0504,0.47,1.9496
CPCT02030447T,1,3,0.3333333333333333,-0.9999,0.87,1.9999
CPCT02290008T,2,2,1.0,-0.1105999999999998,0.61,2.1106
CPCT02370006T,4,3,1.3333333333333333,0.4601000000000002,0.73,3.5399
CPCT02030218TIII,2,2,1.0,0.1147,0.37,1.8853
CPCT02160055T,2,2,1.0,-0.0474000000000001,0.58,2.0474
CPCT02080070TII,3,3,1.0,-1.4394,0.37,4.4394
DO217931,4,5,0.8,0.3146,0.68,3.6854
CPCT02160015T,2,2,1.0,-1.0257,0.71,3.0257
WIDE01010547T,5,3,1.6666666666666667,1.2795,0.74,3.7205
CPCT02020795T,3,2,1.5,0.1042999999999998,0.5,2.8957
CPCT02020680T,4,2,2.0,2.0844,0.72,1.9156
CPCT02120029T,2,2,1.0,-0.0531999999999999,0.64,2.0532
CPCT02230099T,4,2,2.0,0.4609000000000001,0.51,3.5391
WIDE01010950T,3,3,1.0,-0.1181999999999998,0.65,3.1182
CPCT02390010T,4,4,1.0,-0.8171999999999997,0.23,4.8172
CPCT02050183T,5,3,1.6666666666666667,1.3516,0.51,3.6484
DO52544,3,3,1.0,-0.2725,0.74,3.2725
CPCT02020599T,3,6,0.5,-0.4546999999999999,0.59,3.4547
CPCT02230125T,5,5,1.0,0.8860000000000001,0.66,4.114
